TestID,Timestamp,DataVolume,DataSize_MB,Framework,EncryptionTime_ms,CPU_Overhead_Percent,Memory_Usage_GB,SystemLoad,DataSensitivity,EncryptionAlgorithm
1,2024-11-05T19:04:50,Small,16,ATLAS,43,4.68,1.42,51%,High,AES-256-GCM
2,2024-11-05T19:04:51,Small,77,ReplicaWatcher,81,4.87,1.59,68%,Medium,ChaCha20-Poly1305
3,2024-11-05T19:04:52,Small,5,Kunerva,88,5.85,1.71,52%,Low,AES-128-GCM
4,2024-11-05T19:04:53,Small,32,kubeFlower,127,6.04,2.65,20%,Medium,AES-128-GCM
5,2024-11-05T19:04:54,Medium,340,ATLAS,160,4.86,1.46,37%,Medium,AES-256-GCM
6,2024-11-05T19:04:55,Medium,544,ReplicaWatcher,190,5.44,1.59,31%,Medium,ChaCha20-Poly1305
7,2024-11-05T19:04:56,Medium,653,Kunerva,202,6.18,1.89,20%,Low,AES-256-GCM
8,2024-11-05T19:04:57,Medium,154,kubeFlower,267,6.38,2.96,29%,High,AES-256-GCM
9,2024-11-05T19:04:58,Large,9246,ATLAS,509,5.12,1.62,50%,Medium,AES-256-GCM
10,2024-11-05T19:04:59,Large,5031,ReplicaWatcher,594,5.94,1.74,27%,Low,ChaCha20-Poly1305
11,2024-11-05T19:05:00,Large,8912,Kunerva,578,6.73,1.86,35%,High,AES-256-GCM
12,2024-11-05T19:05:01,Large,6606,kubeFlower,627,6.58,2.94,79%,Low,AES-128-GCM
13,2024-11-05T19:05:02,VeryLarge,45666,ATLAS,1212,5.33,1.65,74%,Low,ChaCha20-Poly1305
14,2024-11-05T19:05:03,VeryLarge,32005,ReplicaWatcher,1385,6.27,1.83,35%,High,AES-256-GCM
15,2024-11-05T19:05:04,VeryLarge,25456,Kunerva,1451,7.01,2.21,41%,Medium,ChaCha20-Poly1305
16,2024-11-05T19:05:05,VeryLarge,13491,kubeFlower,1544,7.24,3.12,52%,Low,AES-128-GCM
17,2024-11-05T19:05:06,Small,72,ATLAS,45,4.62,1.46,53%,High,AES-128-GCM
18,2024-11-05T19:05:07,Small,77,ReplicaWatcher,78,5.04,1.57,31%,Low,AES-256-GCM
19,2024-11-05T19:05:08,Small,85,Kunerva,85,5.96,1.73,62%,High,AES-256-GCM
20,2024-11-05T19:05:09,Small,31,kubeFlower,129,6.04,2.8,80%,Medium,AES-128-GCM
21,2024-11-05T19:05:10,Medium,817,ATLAS,154,4.89,1.51,64%,High,ChaCha20-Poly1305
22,2024-11-05T19:05:11,Medium,654,ReplicaWatcher,191,5.66,1.68,53%,Low,AES-256-GCM
23,2024-11-05T19:05:12,Medium,675,Kunerva,212,5.84,1.81,49%,Medium,AES-256-GCM
