EventID,PolicyType,ATLAS_Latency_ms,Kunerva_Latency_ms,kubeFlower_Latency_ms,Timestamp,SystemLoad,Concurrent_Requests
1,Medium,23,36,38,2024-11-01T00:00:01,49%,19
2,Simple,13,16,18,2024-11-01T00:00:02,74%,28
3,Simple,13,15,17,2024-11-01T00:00:03,40%,30
4,Complex,44,68,80,2024-11-01T00:00:04,66%,22
5,Simple,13,14,19,2024-11-01T00:00:05,34%,6
6,Simple,11,16,18,2024-11-01T00:00:06,73%,15
7,Medium,24,35,41,2024-11-01T00:00:07,67%,7
8,Medium,26,35,41,2024-11-01T00:00:08,67%,6
9,Complex,46,68,69,2024-11-01T00:00:09,68%,21
10,Medium,27,36,42,2024-11-01T00:00:10,56%,11
11,Medium,25,35,42,2024-11-01T00:00:11,59%,26
12,Simple,12,15,16,2024-11-01T00:00:12,75%,19
13,Medium,26,33,44,2024-11-01T00:00:13,32%,28
14,Medium,24,37,42,2024-11-01T00:00:14,66%,13
15,Simple,12,16,16,2024-11-01T00:00:15,39%,9
16,Simple,11,14,19,2024-11-01T00:00:16,73%,7
17,Medium,25,33,45,2024-11-01T00:00:17,56%,9
18,Complex,48,68,72,2024-11-01T00:00:18,65%,13
19,Simple,12,14,18,2024-11-01T00:00:19,38%,29
20,Complex,47,67,73,2024-11-01T00:00:20,74%,27
21,Dynamic,53,83,90,2024-11-01T00:00:21,58%,8
22,Simple,12,15,18,2024-11-01T00:00:22,68%,17
23,Complex,44,71,81,2024-11-01T00:00:23,52%,29
24,Simple,11,14,17,2024-11-01T00:00:24,50%,25
25,Medium,23,35,45,2024-11-01T00:00:25,37%,28
26,Simple,12,15,18,2024-11-01T00:00:26,66%,17
27,Simple,11,15,19,2024-11-01T00:00:27,29%,16
28,Simple,13,14,19,2024-11-01T00:00:28,30%,28
29,Simple,11,15,18,2024-11-01T00:00:29,74%,27
30,Complex,44,64,69,2024-11-01T00:00:30,60%,6
31,Medium,26,34,46,2024-11-01T00:00:31,33%,20
32,Medium,23,34,45,2024-11-01T00:00:32,56%,17
33,Simple,11,14,19,2024-11-01T00:00:33,59%,8
34,Simple,12,15,17,2024-11-01T00:00:34,71%,16
35,Simple,12,14,17,2024-11-01T00:00:35,30%,9
36,Medium,26,38,40,2024-11-01T00:00:36,45%,16
37,Simple,13,15,18,2024-11-01T00:00:37,36%,26
38,Medium,25,37,39,2024-11-01T00:00:38,73%,5
39,Medium,23,34,42,2024-11-01T00:00:39,51%,12
40,Simple,13,15,17,2024-11-01T00:00:40,57%,6
41,Dynamic,63,95,88,2024-11-01T00:00:41,62%,20
42,Simple,13,15,16,2024-11-01T00:00:42,51%,20
43,Dynamic,59,94,101,2024-11-01T00:00:43,54%,7
44,Simple,13,16,20,2024-11-01T00:00:44,75%,26
45,Medium,25,37,39,2024-11-01T00:00:45,43%,25
46,Medium,26,37,43,2024-11-01T00:00:46,75%,18
47,Simple,12,15,19,2024-11-01T00:00:47,33%,6
48,Complex,46,73,68,2024-11-01T00:00:48,25%,17
49,Simple,12,15,18,2024-11-01T00:00:49,30%,8
50,Dynamic,60,88,96,2024-11-01T00:00:50,60%,21
51,Medium,27,38,40,2024-11-01T00:00:51,75%,14
52,Medium,26,33,46,2024-11-01T00:00:52,29%,17
53,Simple,12,16,17,2024-11-01T00:00:53,68%,12
54,Medium,27,33,38,2024-11-01T00:00:54,55%,20
55,Simple,12,14,17,2024-11-01T00:00:55,35%,23
56,Complex,44,67,80,2024-11-01T00:00:56,41%,23
57,Simple,11,16,18,2024-11-01T00:00:57,51%,13
58,Medium,23,33,43,2024-11-01T00:00:58,38%,25
59,Complex,48,74,68,2024-11-01T00:00:59,39%,10
60,Medium,24,35,40,2024-11-01T00:01:00,40%,12
61,Complex,49,72,68,2024-11-01T00:01:01,61%,19
